Data Import Template,,,,,,,,,
Table:,Supplier,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
Column Labels,ID,Supplier Name,Supplier Type,Company,Series,Default Currency,Supplier Details,Credit Days,Website
Column Name:,name,supplier_name,supplier_type,company,naming_series,default_currency,supplier_details,credit_days,website
Mandatory:,Yes,Yes,Yes,Yes,No,No,No,No,No
Type:,Data (text),Data,Link,Link,Select,Link,Text,Int,Data
Info:,,,Valid Supplier Type,Valid Company,"One of: SUPP, SUPP/10-11/",Valid Currency,,Integer,
Start entering data below this line,,,,,,,,,
,上海辉星基建,上海辉星基建,原料,尚腾进出口制造有限公司,,,,,
,Ks Merchandise,Ks Merchandise,电力,尚腾进出口制造有限公司,,,,,
,HomeBase,HomeBase,原料,尚腾进出口制造有限公司,,,,,
,Scott Ties,Scott Ties,原料,尚腾进出口制造有限公司,,,,,
,Reliable Investments,Reliable Investments,服务,尚腾进出口制造有限公司,,,,,
,Nan Duskin,Nan Duskin,服务,尚腾进出口制造有限公司,,,,,
,Rainbow Records,Rainbow Records,服务,尚腾进出口制造有限公司,,,,,
,New World Realty,New World Realty,服务,尚腾进出口制造有限公司,,,,,
,Asiatic Solutions,Asiatic Solutions,原料,尚腾进出口制造有限公司,,,,,
,Eagle Hardware,Eagle Hardware,原料,尚腾进出口制造有限公司,,,,,
